,SSC_CODE_2016,Census_Name_2016,pop_percentage
975,SSC10976,Collingullie,"1|United_Kingdom|100.0,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
976,SSC10977,Collingwood (NSW),"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
977,SSC10978,Collins Creek,"1|United_Kingdom|40.0,2|India|20.0,3|Fiji|0.0,4|Poland|0.0,5|Singapore|0.0,0|other_countries|0.0"
978,SSC10979,Collombatti,"1|United_Kingdom|47.06,2|Germany|11.76,3|Korea_Republic_South|5.88,4|Vietnam|5.88,5|South_Africa|0.0,0|other_countries|9.8"
979,SSC10980,Collum Collum,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
980,SSC10981,Colly Blue,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
981,SSC10982,Colo (Bathurst Regional - NSW),"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
982,SSC10983,Colo (Hawkesbury - NSW),"1|Thailand|66.67,2|Italy|33.33,3|Fiji|0.0,4|Poland|0.0,5|Singapore|0.0,0|other_countries|0.0"
983,SSC10984,Colo Heights,"1|United_Kingdom|39.02,2|New_Zealand|9.76,3|India|7.32,4|Philippines|7.32,5|Germany|7.32,0|other_countries|9.76"
984,SSC10985,Colo Vale,"1|United_Kingdom|41.99,2|New_Zealand|11.6,3|Germany|7.18,4|Italy|4.97,5|South_Africa|2.76,0|other_countries|28.18"
985,SSC10986,Colongra,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
986,SSC10987,Colyton,"1|New_Zealand|11.2,2|United_Kingdom|9.46,3|Philippines|8.92,4|Fiji|7.36,5|India|5.4,0|other_countries|57.81"
987,SSC10988,Comara,"1|New_Zealand|40.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
988,SSC10989,Combaning,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
989,SSC10990,Combara,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
990,SSC10991,Comberton,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
991,SSC10992,Comboyne,"1|United_Kingdom|33.33,2|New_Zealand|23.08,3|Netherlands|7.69,4|Thailand|7.69,5|Philippines|7.69,0|other_countries|7.69"
992,SSC10993,Come By Chance,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
993,SSC10994,Comerong Island,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
994,SSC10995,Commissioners Creek,"1|United_Kingdom|100.0,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
995,SSC10996,Como (NSW),"1|United_Kingdom|35.18,2|China_exc_SARs_Taiwan|11.25,3|New_Zealand|6.97,4|Ireland|3.96,5|South_Africa|2.38,0|other_countries|34.23"
996,SSC10997,Comobella,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
997,SSC10998,Conargo,"1|United_Kingdom|27.27,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
998,SSC10999,Concord,"1|Italy|18.85,2|China_exc_SARs_Taiwan|15.61,3|United_Kingdom|7.13,4|Korea_Republic_South|5.43,5|India|4.51,0|other_countries|47.81"
999,SSC11000,Concord West,"1|China_exc_SARs_Taiwan|15.02,2|Italy|12.82,3|Korea_Republic_South|6.96,4|United_Kingdom|6.12,5|India|5.76,0|other_countries|52.85"
1000,SSC11001,Condell Park,"1|Lebanon|24.36,2|Vietnam|23.46,3|FYROM|3.85,4|Italy|3.74,5|Greece|3.62,0|other_countries|40.91"
1001,SSC11002,Condobolin,"1|Philippines|16.79,2|United_Kingdom|16.79,3|New_Zealand|16.06,4|India|12.41,5|Thailand|5.84,0|other_countries|27.01"
1002,SSC11003,Condong,"1|United_Kingdom|28.12,2|New_Zealand|21.88,3|Thailand|12.5,4|Philippines|9.38,5|Germany|9.38,0|other_countries|0.0"
1003,SSC11004,Coneac,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1004,SSC11005,Congarinni,"1|United_Kingdom|56.52,2|New_Zealand|13.04,3|Indonesia|0.0,4|India|0.0,5|Iran|0.0,0|other_countries|0.0"
1005,SSC11006,Congarinni North,"1|United_Kingdom|31.58,2|Ireland|15.79,3|Netherlands|15.79,4|New_Zealand|15.79,5|India|0.0,0|other_countries|0.0"
1006,SSC11007,Congewai,"1|United_Kingdom|52.17,2|New_Zealand|13.04,3|India|0.0,4|Indonesia|0.0,5|Hong_Kong_SAR_China|0.0,0|other_countries|17.39"
1007,SSC11008,Congo,"1|United_Kingdom|31.58,2|New_Zealand|15.79,3|Indonesia|0.0,4|India|0.0,5|Iran|0.0,0|other_countries|0.0"
1008,SSC11009,Conimbia,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1009,SSC11010,Coniston,"1|FYROM|21.76,2|United_Kingdom|7.82,3|Croatia|7.11,4|China_exc_SARs_Taiwan|5.69,5|New_Zealand|4.55,0|other_countries|48.36"
1010,SSC11011,Conjola,"1|United_Kingdom|90.0,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1011,SSC11012,Conjola Park,"1|United_Kingdom|62.5,2|China_exc_SARs_Taiwan|9.38,3|Germany|9.38,4|New_Zealand|9.38,5|Indonesia|9.38,0|other_countries|9.38"
1012,SSC11013,Connells Point,"1|China_exc_SARs_Taiwan|30.59,2|Greece|7.86,3|United_Kingdom|7.74,4|Hong_Kong_SAR_China|6.41,5|New_Zealand|4.47,0|other_countries|41.11"
1013,SSC11014,Constitution Hill,"1|India|11.07,2|China_exc_SARs_Taiwan|10.92,3|Lebanon|9.18,4|New_Zealand|5.17,5|Sri_Lanka|5.1,0|other_countries|59.8"
1014,SSC11015,Coogee (NSW),"1|United_Kingdom|28.02,2|Ireland|10.37,3|New_Zealand|7.75,4|South_Africa|3.27,5|Germany|2.75,0|other_countries|43.24"
1015,SSC11016,Cookamidgera,"1|United_Kingdom|41.67,2|New_Zealand|25.0,3|Indonesia|0.0,4|India|0.0,5|Iran|0.0,0|other_countries|0.0"
1016,SSC11017,Cookardinia,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1017,SSC11018,Cooks Gap,"1|United_Kingdom|34.78,2|New_Zealand|13.04,3|Netherlands|8.7,4|Canada|6.52,5|Philippines|6.52,0|other_countries|15.22"
1018,SSC11019,Cooks Hill,"1|United_Kingdom|26.91,2|New_Zealand|9.24,3|Germany|4.62,4|Canada|4.02,5|South_Africa|3.61,0|other_countries|39.56"
1019,SSC11020,Cooks Myalls,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1020,SSC11021,Coolabah,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1021,SSC11022,Coolac,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1022,SSC11023,Coolagolite,"1|United_Kingdom|57.45,2|New_Zealand|12.77,3|Germany|8.51,4|Malta|6.38,5|Canada|6.38,0|other_countries|14.89"
1023,SSC11024,Coolah,"1|United_Kingdom|49.25,2|New_Zealand|16.42,3|India|4.48,4|Philippines|4.48,5|Germany|4.48,0|other_countries|13.43"
1024,SSC11025,Coolamon,"1|United_Kingdom|39.24,2|New_Zealand|16.46,3|Netherlands|8.86,4|Pakistan|8.86,5|Malaysia|7.59,0|other_countries|20.25"
1025,SSC11026,Coolangatta (NSW),"1|United_Kingdom|42.42,2|India|18.18,3|Germany|12.12,4|New_Zealand|9.09,5|Indonesia|0.0,0|other_countries|0.0"
1026,SSC11027,Coolangubra,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1027,SSC11028,Coolatai,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1028,SSC11029,Cooleman,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1029,SSC11030,Cooleys Creek,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1030,SSC11031,Coolgardie (NSW),"1|Malaysia|20.0,2|United_Kingdom|20.0,3|Fiji|0.0,4|Poland|0.0,5|Singapore|0.0,0|other_countries|0.0"
1031,SSC11032,Coolongolook,"1|United_Kingdom|52.94,2|India|11.76,3|New_Zealand|8.82,4|Indonesia|0.0,5|Hong_Kong_SAR_China|0.0,0|other_countries|8.82"
1032,SSC11033,Coolringdon,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1033,SSC11034,Coolumbooka,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1034,SSC11035,Coolumburra,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1035,SSC11036,Cooma (NSW),"1|United_Kingdom|22.26,2|New_Zealand|9.95,3|Germany|9.54,4|Italy|5.54,5|Netherlands|4.41,0|other_countries|45.54"
1036,SSC11037,Coomba Bay,"1|United_Kingdom|46.43,2|Netherlands|14.29,3|Germany|10.71,4|New_Zealand|10.71,5|Indonesia|0.0,0|other_countries|0.0"
1037,SSC11038,Coomba Park,"1|United_Kingdom|43.24,2|New_Zealand|13.51,3|Germany|9.01,4|Netherlands|8.11,5|Philippines|3.6,0|other_countries|21.62"
1038,SSC11039,Coombadjha,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1039,SSC11040,Coombell,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1040,SSC11041,Coomealla,"1|New_Zealand|28.12,2|United_Kingdom|18.75,3|Turkey|9.38,4|Philippines|9.38,5|Germany|9.38,0|other_countries|12.5"
1041,SSC11042,Coomoo Coomoo,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1042,SSC11043,Coonabarabran,"1|United_Kingdom|38.83,2|New_Zealand|9.57,3|Germany|7.45,4|India|4.79,5|Philippines|4.79,0|other_countries|31.91"
1043,SSC11044,Coonamble,"1|United_Kingdom|16.46,2|India|13.92,3|New_Zealand|13.92,4|Sri_Lanka|12.66,5|Germany|12.66,0|other_countries|45.57"
1044,SSC11045,Coongbar,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1045,SSC11046,Cooperabung,"1|United_Kingdom|59.26,2|Italy|11.11,3|Germany|11.11,4|New_Zealand|11.11,5|India|0.0,0|other_countries|0.0"
1046,SSC11047,Coopernook,"1|United_Kingdom|62.96,2|Philippines|25.93,3|Indonesia|0.0,4|India|0.0,5|Iran|0.0,0|other_countries|0.0"
1047,SSC11048,Coopers Gully,"1|United_Kingdom|100.0,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1048,SSC11049,Coopers Shoot,"1|United_Kingdom|38.64,2|Germany|15.91,3|New_Zealand|6.82,4|India|0.0,5|Hong_Kong_SAR_China|0.0,0|other_countries|20.45"
1049,SSC11050,Cooplacurripa,"1|Germany|100.0,2|Egypt|0.0,3|Philippines|0.0,4|Poland|0.0,5|Singapore|0.0,0|other_countries|0.0"
1050,SSC11051,Coorabell,"1|United_Kingdom|41.51,2|Japan|8.49,3|India|3.77,4|New_Zealand|3.77,5|South_Africa|2.83,0|other_countries|25.47"
1051,SSC11052,Cooranbong,"1|New_Zealand|27.41,2|United_Kingdom|16.78,3|South_Africa|7.68,4|Philippines|3.18,5|Canada|2.08,0|other_countries|38.49"
1052,SSC11053,Cootamundra,"1|United_Kingdom|38.81,2|New_Zealand|9.52,3|India|5.24,4|Philippines|5.24,5|Germany|3.57,0|other_countries|35.71"
1053,SSC11054,Cootralantra,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1054,SSC11055,Cooyal,"1|United_Kingdom|53.85,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|23.08"
1055,SSC11056,Copacabana,"1|United_Kingdom|41.3,2|New_Zealand|10.21,3|Germany|6.73,4|Ireland|5.57,5|South_Africa|4.18,0|other_countries|29.23"
1056,SSC11057,Cope,"1|United_Kingdom|20.0,2|New_Zealand|20.0,3|India|0.0,4|Indonesia|0.0,5|Hong_Kong_SAR_China|0.0,0|other_countries|46.67"
1057,SSC11058,Copeland,"1|United_Kingdom|42.86,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1058,SSC11059,Copeton,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1059,SSC11060,Copmanhurst,"1|United_Kingdom|45.16,2|New_Zealand|25.81,3|Philippines|9.68,4|Germany|9.68,5|Indonesia|0.0,0|other_countries|16.13"
1060,SSC11061,Coppabella (NSW),"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1061,SSC11062,Copperhannia,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1062,SSC11063,Coraki,"1|United_Kingdom|32.05,2|Ireland|10.26,3|New_Zealand|10.26,4|Germany|8.97,5|Philippines|8.97,0|other_countries|21.79"
1063,SSC11064,Coralville,"1|United_Kingdom|50.0,2|South_Africa|13.64,3|New_Zealand|13.64,4|Indonesia|0.0,5|India|0.0,0|other_countries|0.0"
1064,SSC11065,Coramba,"1|United_Kingdom|37.33,2|New_Zealand|21.33,3|Philippines|10.67,4|Germany|8.0,5|Netherlands|4.0,0|other_countries|17.33"
1065,SSC11066,Corang,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1066,SSC11067,Corangula,"1|United_Kingdom|0,2|South_Africa|0,3|Egypt|0,4|Philippines|0,5|Poland|0,0|other_countries|0"
1067,SSC11068,Corbie Hill,"1|Italy|48.28,2|New_Zealand|31.03,3|United_Kingdom|24.14,4|Croatia|17.24,5|Indonesia|0.0,0|other_countries|0.0"
1068,SSC11069,Cordeaux,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1069,SSC11070,Cordeaux Heights,"1|United_Kingdom|18.9,2|FYROM|18.28,3|India|5.71,4|Croatia|4.88,5|Italy|4.36,0|other_countries|46.42"
1070,SSC11071,Coree,"1|New_Zealand|75.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1071,SSC11072,Coreen,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1072,SSC11073,Corindi Beach,"1|United_Kingdom|27.22,2|New_Zealand|15.56,3|India|13.33,4|Philippines|5.0,5|Canada|3.33,0|other_countries|28.33"
1073,SSC11074,Corinella (NSW),"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1074,SSC11075,Corlette,"1|United_Kingdom|44.29,2|New_Zealand|10.34,3|South_Africa|3.16,4|Netherlands|3.16,5|Germany|2.39,0|other_countries|33.73"
1075,SSC11076,Corndale (NSW),"1|United_Kingdom|35.71,2|New_Zealand|11.9,3|Ireland|7.14,4|Canada|7.14,5|Fiji|0.0,0|other_countries|21.43"
1076,SSC11077,Corney Town,"1|New_Zealand|60.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1077,SSC11078,Cornwallis,"1|China_exc_SARs_Taiwan|70.59,2|New_Zealand|0.0,3|Philippines|0.0,4|Poland|0.0,5|Singapore|0.0,0|other_countries|0.0"
1078,SSC11079,Corobimilla,"1|South_Africa|0,2|Iran|0.0,3|Indonesia|0.0,4|India|0.0,5|Hong_Kong_SAR_China|0.0,0|other_countries|0.0"
1079,SSC11080,Corowa,"1|United_Kingdom|38.21,2|New_Zealand|13.85,3|Philippines|7.18,4|Germany|5.9,5|Netherlands|5.13,0|other_countries|26.92"
1080,SSC11081,Corrabare,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1081,SSC11082,Corrimal,"1|United_Kingdom|28.44,2|Italy|13.05,3|New_Zealand|6.69,4|FYROM|3.63,5|China_exc_SARs_Taiwan|3.06,0|other_countries|45.29"
1082,SSC11083,Corrong,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1083,SSC11084,Corrowong,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1084,SSC11085,Corunna,"1|United_Kingdom|0,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1085,SSC11086,Cottage Point,"1|United_Kingdom|62.5,2|South_Africa|20.83,3|Indonesia|0.0,4|India|0.0,5|Iran|0.0,0|other_countries|0.0"
1086,SSC11087,Cottonvale (NSW),"1|United_Kingdom|60.0,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1087,SSC11088,Cougal,"1|Germany|30.0,2|Egypt|0.0,3|Philippines|0.0,4|Poland|0.0,5|Singapore|0.0,0|other_countries|0.0"
1088,SSC11089,Countegany,"1|United_Kingdom|50.0,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1089,SSC11090,Courabyra,"1|South_Africa|50.0,2|New_Zealand|25.0,3|United_Kingdom|18.75,4|Egypt|0.0,5|Philippines|0.0,0|other_countries|0.0"
1090,SSC11091,Couradda,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1091,SSC11092,Couragago,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1092,SSC11093,Couridjah,"1|Germany|27.03,2|United_Kingdom|27.03,3|New_Zealand|8.11,4|China_exc_SARs_Taiwan|8.11,5|Lebanon|8.11,0|other_countries|24.32"
1093,SSC11094,Coutts Crossing,"1|United_Kingdom|41.38,2|New_Zealand|18.97,3|Germany|15.52,4|Netherlands|6.9,5|Canada|5.17,0|other_countries|8.62"
1094,SSC11095,Cow Flat,"1|United_Kingdom|100.0,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1095,SSC11096,Cowabbie,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1096,SSC11097,Cowan,"1|United_Kingdom|23.46,2|South_Africa|13.58,3|Italy|6.17,4|Philippines|4.94,5|Iran|3.7,0|other_countries|33.33"
1097,SSC11098,Cowper,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1098,SSC11099,Cowra,"1|United_Kingdom|28.64,2|New_Zealand|10.46,3|Germany|5.15,4|South_Africa|4.63,5|Philippines|4.12,0|other_countries|44.43"
1099,SSC11100,Coxs Creek,"1|New_Zealand|42.86,2|Indonesia|0.0,3|India|0.0,4|Hong_Kong_SAR_China|0.0,5|Greece|0.0,0|other_countries|42.86"
1100,SSC11101,Coxs Crown,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1101,SSC11102,Crabbes Creek,"1|Germany|37.04,2|United_Kingdom|25.93,3|Greece|11.11,4|New_Zealand|11.11,5|Hong_Kong_SAR_China|0.0,0|other_countries|14.81"
1102,SSC11103,Crackenback,"1|United_Kingdom|29.63,2|New_Zealand|14.81,3|Germany|11.11,4|India|0.0,5|Indonesia|0.0,0|other_countries|29.63"
1103,SSC11104,Craigie (NSW),"1|United_Kingdom|0,2|South_Africa|0,3|Egypt|0,4|Philippines|0,5|Poland|0,0|other_countries|0"
1104,SSC11105,Cranebrook,"1|United_Kingdom|28.79,2|New_Zealand|11.05,3|Philippines|5.55,4|India|4.45,5|Malta|3.51,0|other_countries|46.06"
1105,SSC11106,Crangan Bay,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1106,SSC11107,Craven,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1107,SSC11108,Craven Plateau,"1|Fiji|0.0,2|Poland|0.0,3|Singapore|0.0,4|Canada|0.0,5|China_exc_SARs_Taiwan|0.0,0|other_countries|100.0"
1108,SSC11109,Crawford River,"1|Turkey|75.0,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1109,SSC11110,Crawney,"1|United_Kingdom|80.0,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1110,SSC11111,Creewah,"1|United_Kingdom|85.71,2|New_Zealand|42.86,3|India|0.0,4|Indonesia|0.0,5|Hong_Kong_SAR_China|0.0,0|other_countries|42.86"
1111,SSC11112,Cremorne (NSW),"1|United_Kingdom|22.37,2|New_Zealand|8.42,3|China_exc_SARs_Taiwan|6.15,4|South_Africa|4.86,5|Japan|4.83,0|other_countries|49.63"
1112,SSC11113,Cremorne Point,"1|United_Kingdom|30.68,2|New_Zealand|8.99,3|South_Africa|6.68,4|China_exc_SARs_Taiwan|4.11,5|Canada|3.21,0|other_countries|41.59"
1113,SSC11114,Crescent Head,"1|United_Kingdom|32.85,2|New_Zealand|10.95,3|South_Africa|7.3,4|Germany|6.57,5|Philippines|5.11,0|other_countries|22.63"
1114,SSC11115,Crestwood,"1|India|10.56,2|United_Kingdom|8.87,3|Philippines|6.93,4|Italy|6.84,5|New_Zealand|6.0,0|other_countries|58.19"
1115,SSC11116,Cringila,"1|FYROM|31.34,2|Lebanon|12.21,3|Turkey|5.53,4|United_Kingdom|3.57,5|Italy|3.11,0|other_countries|43.32"
1116,SSC11117,Croki,"1|United_Kingdom|83.33,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1117,SSC11118,Cromer (NSW),"1|United_Kingdom|32.42,2|New_Zealand|7.91,3|Italy|5.62,4|China_exc_SARs_Taiwan|5.29,5|South_Africa|4.91,0|other_countries|41.43"
1118,SSC11119,Cronulla,"1|United_Kingdom|25.99,2|New_Zealand|11.05,3|Philippines|3.65,4|Germany|3.32,5|South_Africa|3.19,0|other_countries|49.45"
1119,SSC11120,Crooble,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1120,SSC11121,Croobyar,"1|United_Kingdom|66.67,2|Japan|20.0,3|Fiji|0.0,4|Poland|0.0,5|Singapore|0.0,0|other_countries|0.0"
1121,SSC11122,Crooked Corner,"1|United_Kingdom|100.0,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1122,SSC11123,Crookwell,"1|United_Kingdom|42.57,2|New_Zealand|16.22,3|Germany|6.08,4|Indonesia|5.41,5|China_exc_SARs_Taiwan|4.73,0|other_countries|23.65"
1123,SSC11124,Croom,"1|Italy|50.0,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|28.57"
1124,SSC11125,Croppa Creek,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1125,SSC11126,Cross Roads (NSW),"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1126,SSC11127,Crosslands,"1|United_Kingdom|57.58,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1127,SSC11128,Croudace Bay,"1|United_Kingdom|60.0,2|South_Africa|16.36,3|Germany|5.45,4|Singapore|5.45,5|Indonesia|0.0,0|other_countries|0.0"
1128,SSC11129,Crowdy Bay National Park,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1129,SSC11130,Crowdy Head,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1130,SSC11131,Crows Nest (NSW),"1|United_Kingdom|17.49,2|New_Zealand|9.05,3|Japan|6.65,4|India|6.48,5|China_exc_SARs_Taiwan|6.09,0|other_countries|51.62"
1131,SSC11132,Crowther,"1|United_Kingdom|42.86,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1132,SSC11133,Crowther Island,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
1133,SSC11134,Croydon (NSW),"1|China_exc_SARs_Taiwan|26.19,2|Italy|9.52,3|United_Kingdom|5.26,4|Lebanon|5.1,5|Vietnam|4.51,0|other_countries|48.57"
1134,SSC11135,Croydon Park (NSW),"1|China_exc_SARs_Taiwan|16.4,2|Italy|11.95,3|Lebanon|7.34,4|India|4.31,5|Korea_Republic_South|4.27,0|other_countries|55.16"
1135,SSC11136,Crudine,"1|United_Kingdom|44.44,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1136,SSC11137,Cryon,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1137,SSC11138,Crystal Creek (NSW),"1|Germany|29.17,2|United_Kingdom|16.67,3|Netherlands|16.67,4|India|12.5,5|Italy|12.5,0|other_countries|12.5"
1138,SSC11139,Cubba,"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
1139,SSC11140,Cudal,"1|United_Kingdom|24.24,2|New_Zealand|21.21,3|Indonesia|0.0,4|India|0.0,5|Iran|0.0,0|other_countries|9.09"
1140,SSC11141,Cudgegong,"1|United_Kingdom|100.0,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
