,SSC_CODE_2016,Census_Name_2016,pop_percentage
32,SSC10033,Alice,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
33,SSC10034,Alison (Central Coast - NSW),"1|Greece|37.5,2|South_Africa|37.5,3|India|0.0,4|Hong_Kong_SAR_China|0.0,5|Indonesia|0.0,0|other_countries|37.5"
34,SSC10035,Alison (Dungog - NSW),"1|United_Kingdom|0,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
35,SSC10036,Allambie Heights,"1|United_Kingdom|34.93,2|New_Zealand|8.07,3|China_exc_SARs_Taiwan|6.92,4|Italy|5.94,5|South_Africa|3.71,0|other_countries|37.44"
36,SSC10037,Allandale (NSW),"1|New_Zealand|0.0,2|Philippines|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
37,SSC10038,Allawah,"1|China_exc_SARs_Taiwan|35.33,2|Philippines|4.73,3|Hong_Kong_SAR_China|4.58,4|India|4.04,5|FYROM|2.92,0|other_countries|47.68"
38,SSC10039,Alleena,"1|South_Africa|0,2|Iran|0.0,3|Indonesia|0.0,4|India|0.0,5|Hong_Kong_SAR_China|0.0,0|other_countries|0.0"
39,SSC10040,Allgomera,"1|United_Kingdom|28.57,2|New_Zealand|21.43,3|Indonesia|0.0,4|India|0.0,5|Iran|0.0,0|other_countries|0.0"
40,SSC10041,Allworth,"1|South_Africa|30.0,2|Iran|0.0,3|Indonesia|0.0,4|India|0.0,5|Hong_Kong_SAR_China|0.0,0|other_countries|0.0"
41,SSC10042,Allynbrook,"1|United_Kingdom|50.0,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
42,SSC10043,Alma Park,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
43,SSC10044,Alpine,"1|United_Kingdom|45.0,2|New_Zealand|30.0,3|China_exc_SARs_Taiwan|15.0,4|Canada|15.0,5|Indonesia|0.0,0|other_countries|0.0"
44,SSC10045,Alstonvale,"1|United_Kingdom|47.27,2|South_Africa|9.09,3|Philippines|5.45,4|India|0.0,5|Indonesia|0.0,0|other_countries|25.45"
45,SSC10046,Alstonville,"1|United_Kingdom|39.9,2|New_Zealand|15.07,3|South_Africa|5.3,4|Netherlands|4.64,5|Canada|2.65,0|other_countries|30.46"
46,SSC10047,Alumy Creek,"1|United_Kingdom|42.86,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
47,SSC10048,Amaroo (NSW),"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
48,SSC10049,Ambarvale,"1|United_Kingdom|12.26,2|New_Zealand|11.16,3|Philippines|9.84,4|India|4.62,5|Fiji|3.57,0|other_countries|58.44"
49,SSC10050,Amosfield,"1|United_Kingdom|80.0,2|Fiji|0.0,3|Poland|0.0,4|Singapore|0.0,5|Canada|0.0,0|other_countries|0.0"
50,SSC10051,Anabranch North,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
51,SSC10052,Anabranch South,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
52,SSC10053,Anambah,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
53,SSC10054,Ando,"1|South_Africa|0,2|Egypt|0,3|Philippines|0,4|Poland|0,5|Singapore|0,0|other_countries|0"
